ClimateZoneAnd,pro_AI,pred_median_c,pred_median_14c
warm temperate,0.240852314474651,8.491962859642449,-487.795627012006
tropical,0.240852314474651,1.568794365961414,-191.5605759200294
cold temperate,0.240852314474651,7.645468328174273,-465.8791299210289
arid,0.240852314474651,2.3404286872744766,-286.5736491754091
warm temperate,1.1150482301677576,0.8069231230502256,-135.4672856133206
tropical,1.1150482301677576,0.9965571559596289,-138.80292835581568
cold temperate,1.1150482301677576,0.950918974910657,-132.19727702437606
arid,1.1150482301677576,0.7669338279857536,-109.83154387390515
warm temperate,1.9892441458608643,0.9160527687957971,-159.33884749238555
tropical,1.9892441458608643,1.0899477457127844,-145.3562743960831
cold temperate,1.9892441458608643,1.1888803207017085,-186.03411594659312
arid,1.9892441458608643,0.8544972784442375,-100.55592770450366
warm temperate,2.863440061553971,0.8065738528490491,-150.4544025230258
tropical,2.863440061553971,0.792824990120075,-167.68141233413542
cold temperate,2.863440061553971,1.0887210590193694,-160.55547409752603
arid,2.863440061553971,0.6069050146920426,-115.18141342537261
warm temperate,3.7376359772470775,0.8118337863154057,-152.70655131075688
tropical,3.7376359772470775,1.1094766316215579,-162.264281008623
cold temperate,3.7376359772470775,1.0113533996811614,-165.19424767906165
arid,3.7376359772470775,0.6107796989522479,-116.24309134087568
warm temperate,4.6118318929401845,0.5965240928059964,-174.8768762826178
tropical,4.6118318929401845,0.7473595772829007,-171.07116542196707
cold temperate,4.6118318929401845,0.7822083863911985,-181.31455850759878
arid,4.6118318929401845,0.41392573908948355,-126.0261358093336
warm temperate,5.486027808633291,0.566544140693152,-176.72267344086995
tropical,5.486027808633291,0.6600241521429744,-197.28922491926542
cold temperate,5.486027808633291,0.7296002502227439,-177.40110206949774
arid,5.486027808633291,0.3660587080205664,-120.57197725777971
warm temperate,6.3602237243263975,0.5325754032665057,-191.39965930653005
tropical,6.3602237243263975,0.6544109323759736,-206.54181163898645
cold temperate,6.3602237243263975,0.7153650723716717,-186.04337480520306
arid,6.3602237243263975,0.3356405038015959,-125.190952482985
warm temperate,7.234419640019504,0.7077115149676239,-327.90458285684315
tropical,7.234419640019504,0.8238836593402804,-265.13875046887
cold temperate,7.234419640019504,0.7639597023729906,-264.94415240815306
arid,7.234419640019504,0.5747981080052534,-146.57904742765868
warm temperate,8.10861555571261,0.5786436707929759,-286.20495297753985
tropical,8.10861555571261,0.7177414647661361,-260.6520330244026
cold temperate,8.10861555571261,0.7195319193981644,-231.6400341131372
arid,8.10861555571261,0.3494908804778043,-141.46834716829827
warm temperate,8.982811471405718,0.5786436707929759,-286.20495297753985
tropical,8.982811471405718,0.7177414647661361,-260.6520330244026
cold temperate,8.982811471405718,0.7195319193981644,-231.6400341131372
arid,8.982811471405718,0.34944087557225756,-141.47981115234916
warm temperate,9.857007387098824,0.5786391534595843,-286.24371862622604
tropical,9.857007387098824,0.7177414647661361,-260.6794236018255
cold temperate,9.857007387098824,0.7195319193981644,-231.6400341131372
arid,9.857007387098824,0.3487230020853857,-141.46834716829827
warm temperate,10.731203302791931,0.5785958842770191,-286.24371862622604
tropical,10.731203302791931,0.7177414647661361,-260.7987056198711
cold temperate,10.731203302791931,0.7195319193981644,-231.6400341131372
arid,10.731203302791931,0.3487230020853857,-142.03670540126757
warm temperate,11.605399218485037,0.5744915205356103,-285.2330418678514
tropical,11.605399218485037,0.7103548951104148,-261.7531460347038
cold temperate,11.605399218485037,0.7195319193981644,-231.82196548207088
arid,11.605399218485037,0.3457474745995635,-147.31672241137213
warm temperate,12.479595134178144,0.558001196401642,-285.03451525675473
tropical,12.479595134178144,0.6993967496666312,-261.34963760237724
cold temperate,12.479595134178144,0.717393860043982,-233.5927446647514
arid,12.479595134178144,0.33912556656981996,-148.95057902203885
warm temperate,13.35379104987125,0.5577149535500592,-295.47847469276564
tropical,13.35379104987125,0.7003145099649117,-259.67297034514047
cold temperate,13.35379104987125,0.7172357815880461,-243.04592433024962
arid,13.35379104987125,0.3390715645848699,-150.9281567318836
warm temperate,14.227986965564357,0.5577149535500592,-295.47847469276564
tropical,14.227986965564357,0.7003145099649117,-259.67297034514047
cold temperate,14.227986965564357,0.7172357815880461,-243.04592433024962
arid,14.227986965564357,0.3390715645848699,-150.9281567318836
warm temperate,15.102182881257464,0.5577149535500592,-295.47847469276564
tropical,15.102182881257464,0.7003145099649117,-259.67297034514047
cold temperate,15.102182881257464,0.7172357815880461,-243.04592433024962
arid,15.102182881257464,0.3390715645848699,-150.9281567318836
warm temperate,15.97637879695057,0.5592914110621645,-301.8312502072442
tropical,15.97637879695057,0.7044369709292962,-262.8935282814267
cold temperate,15.97637879695057,0.7175359123932253,-251.7565978013394
arid,15.97637879695057,0.33928519971692095,-168.08603257382404
warm temperate,16.850574712643677,0.5592914110621645,-301.8312502072442
tropical,16.850574712643677,0.7044369709292962,-262.8935282814267
cold temperate,16.850574712643677,0.7175359123932253,-251.7565978013394
arid,16.850574712643677,0.33928519971692095,-168.08603257382404
