MineralGroupsNew,pro_AI,pred_median_c,pred_median_14c
primary mineral,0.240852314474651,8.041167997092776,-458.19252880425375
low-activity clay,0.240852314474651,1.9861378177131437,-243.48330023884682
high-activity clay,0.240852314474651,7.468398756842596,-462.0953761922173
primary mineral,1.1150482301677576,0.8091604588116068,-128.15673918223942
low-activity clay,1.1150482301677576,0.9442349696677014,-139.5427141127069
high-activity clay,1.1150482301677576,0.9073823494902143,-135.7859776746104
primary mineral,1.9892441458608643,0.9684388288114782,-149.46438371822993
low-activity clay,1.9892441458608643,1.0391371302164742,-152.82609426069772
high-activity clay,1.9892441458608643,1.078419876680977,-181.43094678212617
primary mineral,2.863440061553971,0.8226235016464601,-139.41825845699262
low-activity clay,2.863440061553971,0.7970744452697924,-164.5088869272936
high-activity clay,2.863440061553971,0.9583153822419616,-164.78102110015396
primary mineral,3.7376359772470775,0.7909857721340616,-143.82541783376203
low-activity clay,3.7376359772470775,1.0379299017095212,-159.65754621216254
high-activity clay,3.7376359772470775,0.9634095952113553,-165.6820892226375
primary mineral,4.6118318929401845,0.5845745094228595,-164.70084672025092
low-activity clay,4.6118318929401845,0.7178877297033983,-173.367135131181
high-activity clay,4.6118318929401845,0.6876550029379234,-185.9624325673724
primary mineral,5.486027808633291,0.5351493736116829,-160.75309591398732
low-activity clay,5.486027808633291,0.6487007069294763,-195.47134641631686
high-activity clay,5.486027808633291,0.6123787297765089,-183.65187997638606
primary mineral,6.3602237243263975,0.5023851452072015,-172.2429219764051
low-activity clay,6.3602237243263975,0.6393696686512904,-204.43248817518378
high-activity clay,6.3602237243263975,0.5951973392081307,-197.11623244524776
primary mineral,7.234419640019504,0.6652730320114536,-250.141168314934
low-activity clay,7.234419640019504,0.8562530995200441,-288.64962922270746
high-activity clay,7.234419640019504,0.7416457048437415,-314.20315287504127
primary mineral,8.10861555571261,0.521050923469982,-222.50608993221033
low-activity clay,8.10861555571261,0.6996753093224559,-272.7078234816094
high-activity clay,8.10861555571261,0.6337570419620782,-274.6061241859338
primary mineral,8.982811471405718,0.521050923469982,-222.50608993221033
low-activity clay,8.982811471405718,0.6996753093224559,-272.7078234816094
high-activity clay,8.982811471405718,0.6337570419620782,-274.7659462684825
primary mineral,9.857007387098824,0.521050923469982,-222.50608993221033
low-activity clay,9.857007387098824,0.6996753093224559,-272.7078234816094
high-activity clay,9.857007387098824,0.6338143481344725,-274.7659462684825
primary mineral,10.731203302791931,0.521050923469982,-222.62717249039932
low-activity clay,10.731203302791931,0.6996753093224559,-272.80309073123334
high-activity clay,10.731203302791931,0.6337071615298348,-275.0419989973766
primary mineral,11.605399218485037,0.5200461062722844,-222.41011845740843
low-activity clay,11.605399218485037,0.6925247076439452,-275.05516281129786
high-activity clay,11.605399218485037,0.6289063666610715,-275.0021161808206
primary mineral,12.479595134178144,0.5134595464726005,-223.35319306421877
low-activity clay,12.479595134178144,0.6620288756819369,-272.61201838880527
high-activity clay,12.479595134178144,0.6146443283167309,-273.5404891280476
primary mineral,13.35379104987125,0.5128762694711647,-234.95581742078858
low-activity clay,13.35379104987125,0.6618089594285796,-272.73114472520615
high-activity clay,13.35379104987125,0.6136643795070401,-283.60981990207745
primary mineral,14.227986965564357,0.5128762694711647,-234.95581742078858
low-activity clay,14.227986965564357,0.6618089594285796,-272.73114472520615
high-activity clay,14.227986965564357,0.6136643795070401,-283.60981990207745
primary mineral,15.102182881257464,0.5128762694711647,-234.95581742078858
low-activity clay,15.102182881257464,0.6618089594285796,-272.73114472520615
high-activity clay,15.102182881257464,0.6136643795070401,-283.60981990207745
primary mineral,15.97637879695057,0.5147642832556089,-247.14293552148357
low-activity clay,15.97637879695057,0.6667576707842913,-278.1783619548943
high-activity clay,15.97637879695057,0.6155923718260241,-289.6867569044145
primary mineral,16.850574712643677,0.5147642832556089,-247.14293552148357
low-activity clay,16.850574712643677,0.6667576707842913,-278.1783619548943
high-activity clay,16.850574712643677,0.6155923718260241,-289.6867569044145
