ClimateZoneAnd,lyr_clay_mod,pred_median_c,pred_median_14c
warm temperate,0,0.7474678284544671,-105.97600590465598
tropical,0,0.8213197559258922,-118.65161876654655
cold temperate,0,0.968660803285191,-101.19708600793736
arid,0,0.34295179113148905,-91.1196267453331
warm temperate,4.195086770041748,0.8395820965580721,-115.21355297333336
tropical,4.195086770041748,0.7020717677719431,-96.37044676369499
cold temperate,4.195086770041748,1.0631145201798617,-123.39846902678812
arid,4.195086770041748,0.47360114340494996,-114.43266137016387
warm temperate,8.390173540083495,0.9515313711103426,-119.27520768108977
tropical,8.390173540083495,0.7166016203278787,-70.41913433616891
cold temperate,8.390173540083495,1.18549919013234,-116.80086680810565
arid,8.390173540083495,0.5913337206030314,-120.44682592641871
warm temperate,12.585260310125243,0.9300975643335009,-135.45736661170372
tropical,12.585260310125243,0.7101865638852676,-77.84295471161879
cold temperate,12.585260310125243,1.1231926850233727,-140.0198138176973
arid,12.585260310125243,0.5557022396831909,-135.91495821736885
warm temperate,16.78034708016699,0.8996176130905238,-137.82885372967021
tropical,16.78034708016699,0.7154659471472223,-89.03458670781353
cold temperate,16.78034708016699,1.1113548048635173,-139.64474648683597
arid,16.78034708016699,0.5321779618903839,-142.05237120141697
warm temperate,20.975433850208738,0.9902181475609461,-136.7149790052541
tropical,20.975433850208738,0.7151516236761332,-90.4272748676145
cold temperate,20.975433850208738,1.3462446717910757,-138.3788609501869
arid,20.975433850208738,0.5275294733835375,-139.52818831664868
warm temperate,25.170520620250485,0.9328065370010763,-146.19048186952932
tropical,25.170520620250485,0.7229496586544852,-94.1706438387215
cold temperate,25.170520620250485,1.2153970937951903,-147.77132404339957
arid,25.170520620250485,0.5360941886053993,-139.97430887824785
warm temperate,29.365607390292233,1.1160025568400536,-168.44525196058336
tropical,29.365607390292233,0.7102737674897112,-136.1348527747974
cold temperate,29.365607390292233,1.3706702958776495,-164.7267649398164
arid,29.365607390292233,0.5906542767238611,-157.90672031450345
warm temperate,33.56069416033398,1.3722717764545087,-146.65458382530062
tropical,33.56069416033398,0.7819842050552848,-129.69471883921966
cold temperate,33.56069416033398,1.5335327504794727,-171.53522153794646
arid,33.56069416033398,0.7221422197670354,-162.36008594403722
warm temperate,37.75578093037573,1.4559581104013017,-164.29509359770546
tropical,37.75578093037573,0.8346697310013892,-134.57998930275156
cold temperate,37.75578093037573,1.4328347487073143,-200.00111559964844
arid,37.75578093037573,0.8091142447777927,-182.70092598599322
warm temperate,41.950867700417476,1.3450605050054896,-187.63275847660128
tropical,41.950867700417476,0.7962910844834734,-160.04993547335408
cold temperate,41.950867700417476,1.3968273977461454,-228.03366455144518
arid,41.950867700417476,0.7109590745868629,-204.0567650246044
warm temperate,46.14595447045922,1.3276542624467929,-184.7849503355729
tropical,46.14595447045922,0.7843392149425559,-139.7789088129721
cold temperate,46.14595447045922,1.4026235417868667,-223.39021290049035
arid,46.14595447045922,0.7337628797127531,-208.0243858508246
warm temperate,50.34104124050097,1.321063527151884,-209.76392151845369
tropical,50.34104124050097,0.8021736263873149,-144.52638284196254
cold temperate,50.34104124050097,1.45229502171754,-243.17895176817706
arid,50.34104124050097,0.7094044743143447,-216.76427187393176
warm temperate,54.53612801054272,1.347267437271568,-217.2271906156712
tropical,54.53612801054272,0.8618914746643583,-146.21084965122566
cold temperate,54.53612801054272,1.4840854009961972,-249.65856827113464
arid,54.53612801054272,0.7299283033455057,-221.1070167122683
warm temperate,58.731214780584466,1.4036534427015588,-222.36423753053072
tropical,58.731214780584466,0.8591195439999532,-147.00463054480667
cold temperate,58.731214780584466,1.5530391693023968,-250.83156232681947
arid,58.731214780584466,0.7650860887972393,-221.68088391747264
warm temperate,62.926301550626214,1.404319653944429,-208.42462633857292
tropical,62.926301550626214,0.8535080682535054,-159.79308401946514
cold temperate,62.926301550626214,1.5772991240475642,-234.33151948792354
arid,62.926301550626214,0.7710069596830595,-206.89533655104054
warm temperate,67.12138832066796,1.4027116919465676,-217.48615908529854
tropical,67.12138832066796,0.8746824904159314,-161.01687005236388
cold temperate,67.12138832066796,1.5625571456484308,-241.0303084752701
arid,67.12138832066796,0.7718825989841351,-216.62599578109325
warm temperate,71.3164750907097,1.3781065363218927,-224.61984753599432
tropical,71.3164750907097,0.8851479703973417,-161.6006802131444
cold temperate,71.3164750907097,1.5603232512245893,-248.38966128300063
arid,71.3164750907097,0.7711250261357452,-219.27028909728233
warm temperate,75.51156186075146,1.3713590963737972,-226.16371776108286
tropical,75.51156186075146,0.9054230615954397,-161.79494289642147
cold temperate,75.51156186075146,1.560346278673891,-247.84365682750985
arid,75.51156186075146,0.7713306167242364,-219.10144183102395
warm temperate,79.70664863079321,1.36884298138848,-226.89296852454368
tropical,79.70664863079321,0.9523214131931487,-158.42784456796122
cold temperate,79.70664863079321,1.560346278673891,-247.85217262467242
arid,79.70664863079321,0.7713306167242364,-219.10144183102395
