MineralGroupsNew,pro_MAT_mod,pred_median_c,pred_median_14c
primary mineral,-8.78750038146973,1.1637670267393823,-242.70195809532916
low-activity clay,-8.78750038146973,1.6493697719989784,-241.64084431205498
high-activity clay,-8.78750038146973,1.0746670433365815,-233.80404280017018
primary mineral,-6.877631940339745,1.1575581999951863,-239.78106482541995
low-activity clay,-6.877631940339745,1.6389521751693024,-237.37294257933127
high-activity clay,-6.877631940339745,1.0714254542521662,-230.4356771432366
primary mineral,-4.9677634992097595,1.1695378028953292,-238.5143668241917
low-activity clay,-4.9677634992097595,1.6494165849232703,-235.3885023180944
high-activity clay,-4.9677634992097595,1.0779949432657505,-229.25858137237435
primary mineral,-3.0578950580797732,1.068176916624192,-284.3684381099398
low-activity clay,-3.0578950580797732,1.6281920191771924,-283.16454150388836
high-activity clay,-3.0578950580797732,0.968836124396548,-283.27712138794857
primary mineral,-1.148026616949788,1.2929708213772462,-260.3183414563517
low-activity clay,-1.148026616949788,1.7093424186494268,-266.71281788467104
high-activity clay,-1.148026616949788,1.2087787826652066,-263.14625953345796
primary mineral,0.7618418241801983,1.32207084336835,-255.41306803857992
low-activity clay,0.7618418241801983,1.7321871978122059,-262.34819408295186
high-activity clay,0.7618418241801983,1.246371771240398,-257.726626593852
primary mineral,2.6717102653101836,1.415241777881809,-234.21626328786957
low-activity clay,2.6717102653101836,1.7883047064193942,-248.1414787466457
high-activity clay,2.6717102653101836,1.3373363624456531,-235.90917328448478
primary mineral,4.581578706440169,1.2926142979502533,-236.57741893360048
low-activity clay,4.581578706440169,1.7883047672703611,-254.50100789765153
high-activity clay,4.581578706440169,1.1885905057682584,-246.6712732128382
primary mineral,6.491447147570154,1.3393881313444098,-185.81586298061734
low-activity clay,6.491447147570154,1.5420307613271762,-226.13999115767706
high-activity clay,6.491447147570154,1.302975337252939,-207.67434928496755
primary mineral,8.40131558870014,1.0518452188650405,-147.75510729230973
low-activity clay,8.40131558870014,1.5479398383172667,-190.64141538768231
high-activity clay,8.40131558870014,1.0942510076677312,-156.24228569949094
primary mineral,10.311184029830127,0.9668804138370792,-155.78197377188263
low-activity clay,10.311184029830127,1.9106243225909443,-189.05525975820055
high-activity clay,10.311184029830127,1.0641228268883256,-168.6935012701468
primary mineral,12.22105247096011,1.1113360450887322,-145.53091544124928
low-activity clay,12.22105247096011,2.6548966226663095,-202.8342252335947
high-activity clay,12.22105247096011,1.1338349437999897,-157.83746514848866
primary mineral,14.130920912090097,1.0699442115667044,-139.7659508030018
low-activity clay,14.130920912090097,2.8273428198755055,-187.99578939660285
high-activity clay,14.130920912090097,0.9299188713418801,-138.33419079115885
primary mineral,16.04078935322008,0.9375578843749317,-138.36505551669535
low-activity clay,16.04078935322008,2.6514031996514094,-191.02975965734043
high-activity clay,16.04078935322008,0.9946852648300657,-133.64627064196554
primary mineral,17.950657794350068,1.0056762787816564,-169.02012208616688
low-activity clay,17.950657794350068,2.245853265124156,-203.9793056519556
high-activity clay,17.950657794350068,1.0860031504748902,-169.30940256831244
primary mineral,19.86052623548005,0.7017652481702331,-141.62398274092183
low-activity clay,19.86052623548005,0.7785165772960039,-147.8778110751803
high-activity clay,19.86052623548005,0.8089515565297346,-141.4385237609647
primary mineral,21.77039467661004,0.7466414611698302,-88.87853721217374
low-activity clay,21.77039467661004,0.8449198850163391,-123.50297617588316
high-activity clay,21.77039467661004,0.8817811640186403,-94.24421698925741
primary mineral,23.680263117740022,0.7675400971070409,-60.91392923965274
low-activity clay,23.680263117740022,0.8778058025746218,-81.08293516637553
high-activity clay,23.680263117740022,0.862413316893871,-68.3743072276948
primary mineral,25.59013155887001,0.728223679869165,-100.76172393019742
low-activity clay,25.59013155887001,0.8198403742411666,-141.66732280128397
high-activity clay,25.59013155887001,0.8282057455481306,-119.96473648737226
primary mineral,27.5,0.889026138806412,-60.63842944068551
low-activity clay,27.5,1.1051698377980568,-88.61957685913112
high-activity clay,27.5,1.0571277579762475,-77.69893425410108
