ClimateZoneAnd,UD,pred_median_c,pred_median_14c
warm temperate,1,3.174980506297895,16.355122140167097
tropical,1,2.0688109555581264,58.29456905692845
cold temperate,1,3.9419603420589113,16.946448399762456
arid,1,0.9085902254078184,5.505501189923756
warm temperate,6.2105263157894735,3.0264395239678845,10.959472133713112
tropical,6.2105263157894735,1.9723304681827607,53.58828694627955
cold temperate,6.2105263157894735,3.6100394021640265,12.742138342015155
arid,6.2105263157894735,0.8452235329557422,3.0702206994329284
warm temperate,11.421052631578947,2.556013579287023,-6.221159950969202
tropical,11.421052631578947,1.6930740358931087,32.27484072873279
cold temperate,11.421052631578947,3.1238737920812265,-11.14558239095409
arid,11.421052631578947,0.6866775958748441,-22.6531161089861
warm temperate,16.63157894736842,2.0187517331247014,-33.76275545761827
tropical,16.63157894736842,1.3807379799609487,0.7153809880660794
cold temperate,16.63157894736842,2.336828984162787,-42.37625181450894
arid,16.63157894736842,0.6034201584396542,-53.63970218413978
warm temperate,21.842105263157894,1.5049693712899916,-60.24867048175979
tropical,21.842105263157894,1.0245962847812908,-22.557061235024555
cold temperate,21.842105263157894,1.771481589546662,-81.22966958234902
arid,21.842105263157894,0.4913340634965089,-81.25874688642372
warm temperate,27.052631578947366,1.3424773030148192,-76.7234105062003
tropical,27.052631578947366,0.9089019591533982,-43.076821020355325
cold temperate,27.052631578947366,1.5147429033388027,-101.5041441329431
arid,27.052631578947366,0.45174795388026606,-104.15950899766703
warm temperate,32.26315789473684,1.146032375498108,-97.4747320640999
tropical,32.26315789473684,0.821269337513827,-61.54378583461155
cold temperate,32.26315789473684,1.2365569322233088,-118.35592273353981
arid,32.26315789473684,0.41874651105896055,-117.52020521328281
warm temperate,37.473684210526315,0.9966125174479621,-116.97209567103472
tropical,37.473684210526315,0.7809098097153327,-80.54637717828169
cold temperate,37.473684210526315,1.0942605331897988,-139.65405954210806
arid,37.473684210526315,0.4005700838333596,-130.07493792132442
warm temperate,42.68421052631579,0.8677315151163215,-142.34479327696675
tropical,42.68421052631579,0.6824068315452321,-109.57370086383713
cold temperate,42.68421052631579,0.9514427069638668,-173.78495375191935
arid,42.68421052631579,0.35550639822267394,-145.55427376482012
warm temperate,47.89473684210526,0.7699003422158597,-159.21905481694932
tropical,47.89473684210526,0.632573330451451,-128.67236047541303
cold temperate,47.89473684210526,0.8360560383552917,-185.89958821747013
arid,47.89473684210526,0.3289497119113494,-158.1017296740094
warm temperate,53.10526315789473,0.7076641762477152,-177.21069803392257
tropical,53.10526315789473,0.6124862243467423,-147.59792379362543
cold temperate,53.10526315789473,0.7730789235973025,-203.13221628831832
arid,53.10526315789473,0.2938954143365833,-169.88890595663761
warm temperate,58.315789473684205,0.646119461634526,-189.28530387644918
tropical,58.315789473684205,0.5963952911330619,-164.5134174443058
cold temperate,58.315789473684205,0.7416741603891767,-215.16944623332992
arid,58.315789473684205,0.2709301202715293,-178.91970300078017
warm temperate,63.526315789473685,0.5815725961483773,-210.0884674669326
tropical,63.526315789473685,0.5672468371641947,-187.91150669598093
cold temperate,63.526315789473685,0.697331542273065,-255.85248171271354
arid,63.526315789473685,0.2642738182217721,-193.93124091860153
warm temperate,68.73684210526315,0.5681524104429698,-228.93972409162504
tropical,68.73684210526315,0.5498724240363679,-206.99885459880383
cold temperate,68.73684210526315,0.6741749507796025,-280.636407794134
arid,68.73684210526315,0.26191747032047524,-204.82633642163032
warm temperate,73.94736842105263,0.5300402173497762,-240.88199149237616
tropical,73.94736842105263,0.5232846136667513,-216.82175596338152
cold temperate,73.94736842105263,0.6363747317437539,-288.37714932387547
arid,73.94736842105263,0.2550137826340528,-214.32444931178432
warm temperate,79.1578947368421,0.5158035859830021,-249.3908051882912
tropical,79.1578947368421,0.49280190409337093,-226.97513906538924
cold temperate,79.1578947368421,0.6140829791006425,-298.51341859526934
arid,79.1578947368421,0.2492371198267715,-227.63089092120669
warm temperate,84.36842105263158,0.5098706337367512,-265.34058803335546
tropical,84.36842105263158,0.4758402342617249,-238.19295399352427
cold temperate,84.36842105263158,0.6003836423161042,-317.5374234417727
arid,84.36842105263158,0.23943968776410104,-267.3534654413206
warm temperate,89.57894736842105,0.49820875633049794,-277.0858435093946
tropical,89.57894736842105,0.46053216562845556,-247.38007527609145
cold temperate,89.57894736842105,0.5866386104527049,-326.35229937984565
arid,89.57894736842105,0.2317298858611148,-283.82630448784107
warm temperate,94.78947368421052,0.4924491356048382,-283.4923112075136
tropical,94.78947368421052,0.45513231890543543,-253.88203469841207
cold temperate,94.78947368421052,0.5814489256589671,-324.48992056388863
arid,94.78947368421052,0.21441167579620696,-290.04915604365544
warm temperate,100,0.49488032185432407,-287.0500875229855
tropical,100,0.45010667733490406,-257.763067637507
cold temperate,100,0.579337842337643,-328.474202369599
arid,100,0.21293605709285832,-291.5478978384577
