ClimateZoneAnd,UD,pred_median_c,pred_median_14c
warm temperate,1,3.1917710681244356,16.91501888360242
tropical,1,2.0666148635108295,58.44576663634711
cold temperate,1,3.9637492272552106,18.15486581722232
arid,1,0.9250698262316626,5.423233202556407
warm temperate,6.2105263157894735,3.061511535701197,13.081545036585837
tropical,6.2105263157894735,1.9809378213990987,52.96686225880049
cold temperate,6.2105263157894735,3.595156939035355,12.940733610424266
arid,6.2105263157894735,0.8511869204291076,3.1503610500369312
warm temperate,11.421052631578947,2.544570510276793,-7.279002012602753
tropical,11.421052631578947,1.697715491610755,31.865936948232857
cold temperate,11.421052631578947,3.1263953093500976,-12.262058249201685
arid,11.421052631578947,0.7006042029207008,-24.723674499296028
warm temperate,16.63157894736842,2.0191453840101543,-33.531022800625834
tropical,16.63157894736842,1.3816546105632679,0.7753204212893742
cold temperate,16.63157894736842,2.295846686315401,-43.48690267659577
arid,16.63157894736842,0.6040462307845441,-53.06953459707476
warm temperate,21.842105263157894,1.5055543194066514,-59.88986182369397
tropical,21.842105263157894,1.0205489859652763,-23.127257003301317
cold temperate,21.842105263157894,1.7850778490087755,-81.53865321247787
arid,21.842105263157894,0.49045954914265094,-82.40257589543569
warm temperate,27.052631578947366,1.3215262050030225,-77.22208931216213
tropical,27.052631578947366,0.8928737175102858,-43.84836770495056
cold temperate,27.052631578947366,1.5147889000509085,-100.73407264725486
arid,27.052631578947366,0.44753904832764674,-102.85274113952987
warm temperate,32.26315789473684,1.1378263905511552,-97.45368316410799
tropical,32.26315789473684,0.8219624863963042,-63.256553580944995
cold temperate,32.26315789473684,1.2421562836535422,-118.98305790436065
arid,32.26315789473684,0.4129970026184139,-117.5285677917479
warm temperate,37.473684210526315,0.9918586488728842,-118.02776874747448
tropical,37.473684210526315,0.7823299558589777,-80.72673795066846
cold temperate,37.473684210526315,1.100551251273336,-140.0953167381501
arid,37.473684210526315,0.39967717175877177,-131.48395308491916
warm temperate,42.68421052631579,0.854498948257393,-141.88511967760095
tropical,42.68421052631579,0.6749823412380284,-109.24643217040968
cold temperate,42.68421052631579,0.939929060466556,-173.6112146274571
arid,42.68421052631579,0.3503006411914933,-145.48905319203726
warm temperate,47.89473684210526,0.7701052161146185,-159.61683691915604
tropical,47.89473684210526,0.6338814546399905,-129.47761595361715
cold temperate,47.89473684210526,0.8345089475312855,-181.8521646733858
arid,47.89473684210526,0.33047438117379385,-156.29350663326719
warm temperate,53.10526315789473,0.7030305808514664,-177.367887817492
tropical,53.10526315789473,0.6111706935489873,-147.77028928355736
cold temperate,53.10526315789473,0.7645590332753764,-202.83368340565136
arid,53.10526315789473,0.29300883577673087,-169.48786891763513
warm temperate,58.315789473684205,0.649178643366866,-190.06253096758684
tropical,58.315789473684205,0.5936999636082737,-162.892864068948
cold temperate,58.315789473684205,0.7340986891564418,-217.3946491822748
arid,58.315789473684205,0.2707795651636931,-178.5448571009796
warm temperate,63.526315789473685,0.5859257575991059,-210.22729477405653
tropical,63.526315789473685,0.5691081764441586,-187.9907152085129
cold temperate,63.526315789473685,0.6975483292025609,-256.8418262237789
arid,63.526315789473685,0.26481788254271976,-190.25206578237447
warm temperate,68.73684210526315,0.5623906962582823,-228.4762834887122
tropical,68.73684210526315,0.547028995599007,-206.71875018739178
cold temperate,68.73684210526315,0.6673413936008347,-277.76089945693656
arid,68.73684210526315,0.2604082813433149,-204.1104826976156
warm temperate,73.94736842105263,0.5321281417312991,-240.1956655190632
tropical,73.94736842105263,0.5229645974590712,-218.05111586252096
cold temperate,73.94736842105263,0.6327439282650404,-291.63438798629954
arid,73.94736842105263,0.25428185513147417,-214.17787751047234
warm temperate,79.1578947368421,0.5189089769556295,-248.87563492827508
tropical,79.1578947368421,0.4947299788929174,-226.3703745515647
cold temperate,79.1578947368421,0.6049880398669529,-300.6257768509281
arid,79.1578947368421,0.24054567098389776,-231.33016438954212
warm temperate,84.36842105263158,0.5138122995680448,-265.80943833533297
tropical,84.36842105263158,0.4738265333590857,-237.61538964788494
cold temperate,84.36842105263158,0.5876506424266782,-311.97886634246305
arid,84.36842105263158,0.2321003057421275,-259.6264002131046
warm temperate,89.57894736842105,0.5006616554665699,-276.621310850702
tropical,89.57894736842105,0.45696146491008277,-247.89424522118458
cold temperate,89.57894736842105,0.5758548039928546,-325.6302814447397
arid,89.57894736842105,0.23181674945092626,-281.7510058144232
warm temperate,94.78947368421052,0.49634814293985985,-282.55431805252226
tropical,94.78947368421052,0.45154534882679503,-254.05163692293848
cold temperate,94.78947368421052,0.5732148136239774,-326.2880282820067
arid,94.78947368421052,0.21349815381974122,-288.66447512440516
warm temperate,100,0.5010652564344067,-287.7415526983073
tropical,100,0.44994163651720265,-258.6497308655098
cold temperate,100,0.5687203321575379,-331.0237151725773
arid,100,0.21336576081261296,-289.6936815584905
