ClimateZoneAnd,UD,n_profile,n_site,n_rel,median_c,lci_c,uci_c,Derivative_1,Derivative_2
volcanic soils,1,57,15,87.6923076923077,25.68102636626164,21.555827612586285,29.395117285239877,-0.04273889181313173,-0.0854777836262599
volcanic soils,2,58,15,89.23076923076923,25.760833969798885,22.010141227096987,29.488919538077848,-0.11950009702823916,-0.08376355874443853
volcanic soils,3,58,15,89.23076923076923,25.51639786728746,21.808016504609537,29.301430526270135,-0.199166828380398,-0.07795250647032681
volcanic soils,4,59,15,90.76923076923077,24.99632068603765,21.1149816100743,28.59730749052846,-0.25849487677319516,-0.04798420446490681
volcanic soils,5,59,15,90.76923076923077,24.554932157157513,20.714405311724377,28.17686487959291,-0.3323505558512494,-0.044980307807543696
volcanic soils,6,59,15,90.76923076923077,24.00717538688686,20.359046371087118,27.696327443426437,-0.39177490818497596,-0.04498030780754192
volcanic soils,7,59,15,90.76923076923077,23.476863553390164,19.851217243258013,27.065873539183077,-0.4322011897656566,-0.04443503138470817
volcanic soils,8,59,15,90.76923076923077,22.934243070342816,19.41603163547176,26.369533961534028,-0.49869368049883533,-0.035433703755355594
volcanic soils,9,61,17,93.84615384615384,21.649046620922903,18.28089925403999,24.995853709956968,-0.5022876157153426,-0.03543370375535204
volcanic soils,10,61,17,93.84615384615384,21.056428538587447,17.70170607334494,24.175727383190647,-0.45584994241661647,-0.013662427893994078
volcanic soils,11,61,17,93.84615384615384,20.268202457593638,17.08278344050603,23.34179281523589,-0.44000682038191385,0.022560775021375434
volcanic soils,12,61,17,93.84615384615384,19.453244856531235,16.554020141742754,22.50071108506112,-0.4204143049948801,0.022560775021389645
volcanic soils,13,61,17,93.84615384615384,18.843635118207757,15.989090633185958,21.637997924547165,-0.4156647480380222,0.025007935542616266
volcanic soils,14,62,18,95.38461538461539,18.450713800788385,15.75612414010022,21.31443602859995,-0.3864418125388287,0.021076645204207267
volcanic soils,15,62,18,95.38461538461539,17.76078996185322,15.128474068135745,20.423875467268836,-0.3930707380413523,0.02378435528200029
volcanic soils,16,64,18,98.46153846153847,17.22690596228462,14.701335374131965,19.859311059278152,-0.34034811777576035,0.021323899363539844
volcanic soils,17,64,18,98.46153846153847,16.56499382415328,14.207292916305796,19.08898766369163,-0.3079862355644245,0.021323899363534515
volcanic soils,18,64,18,98.46153846153847,15.982716474460199,13.713695386095278,18.289297341047067,-0.29514994264575467,0.02804976270108206
volcanic soils,19,64,18,98.46153846153847,15.391502690476429,13.23109683950171,17.610377609392977,-0.28223428241428206,0.02804976270107673
volcanic soils,20,64,18,98.46153846153847,14.794382947666122,12.829034157815972,16.93309952459819,-0.2716454603363587,0.024115846832898136
volcanic soils,21,64,18,98.46153846153847,14.216004212341536,12.368547162448355,16.31378144412061,-0.2708245760911008,0.021323899363539844
volcanic soils,22,64,18,98.46153846153847,13.737849123284919,12.017581588982178,15.738635222588409,-0.26308524694200175,0.021323899363535403
volcanic soils,23,64,18,98.46153846153847,13.248523137374402,11.655718822623689,15.278231343590175,-0.25433940711200487,0.0241158468329008
volcanic soils,24,64,18,98.46153846153847,12.786721392264708,11.35362056788099,14.76643484239698,-0.24125488662978611,0.024115846832899912
volcanic soils,25,64,18,98.46153846153847,12.425493572398494,11.0300739683313,14.301224870157446,-0.22229675870999,0.02587025281374844
volcanic soils,26,64,18,98.46153846153847,12.055623806467676,10.731966247554963,13.9004909528682,-0.19366935710810385,0.028049762701079395
volcanic soils,27,64,18,98.46153846153847,11.806700899794524,10.457016559968167,13.542094501555763,-0.17428843356089718,0.021148923126800057
volcanic soils,28,64,18,98.46153846153847,11.594607146111189,10.244438007040193,13.256229062208124,-0.1392247948215406,0.021148923126796504
volcanic soils,29,64,18,98.46153846153847,11.392204849230072,10.104610835587424,13.032333144126833,-0.10353401730743972,0.021148923126805386
volcanic soils,30,64,18,98.46153846153847,11.287106888468035,10.000770264939511,12.805850643019115,-0.07789849305759255,0.012680013918823896
volcanic soils,31,65,18,100,11.04625165674857,9.82211076201864,12.577751373483538,-0.056820372060622404,4.129890398907321e-4
volcanic soils,32,65,18,100,11.002558095522293,9.758657389558016,12.40806136748494,-0.05710474374977359,4.129890398907321e-4
volcanic soils,33,65,18,100,10.952051071552376,9.679540291931366,12.215384942110212,-0.05653939269310726,4.129890398898439e-4
volcanic soils,34,65,18,100,10.874248859367711,9.603806228791727,12.09449820657576,-0.05597404163643738,3.9793760421424906e-4
volcanic soils,35,65,18,100,10.804795105726736,9.530805927313036,12.013622470832512,-0.06056117112939319,3.9793760421069635e-4
volcanic soils,36,65,18,100,10.737723870964704,9.482038269566178,11.929535900579063,-0.061496370896588104,7.475706214643552e-5
volcanic soils,37,65,18,100,10.65485092398053,9.390959604167389,11.841606904176675,-0.05442545305558788,1.7763568394002505e-15
volcanic soils,38,65,18,100,10.609603909105216,9.31944903620343,11.747949395487764,-0.053712637409757846,7.47570621468796e-5
volcanic soils,39,65,18,100,10.528449841236649,9.242005405085585,11.676607186745722,-0.05223673038465115,3.9793760420892e-4
volcanic soils,40,65,18,100,10.459634063563744,9.178339547285601,11.590866973398057,-0.05258193529641986,4.2057111207149944e-4
volcanic soils,41,65,18,100,10.419519827363814,9.103958359138645,11.534753700924853,-0.054127512329580796,0
volcanic soils,42,65,18,100,10.327012092687617,9.047588344883264,11.454601142207304,-0.05237203790936107,3.9793760421424906e-4
volcanic soils,43,65,18,100,10.279343585660392,8.966160658054466,11.359868158872965,-0.05463650013962784,1.1102230246251565e-16
volcanic soils,44,65,18,100,10.20022834426547,8.912640185130089,11.278415878292844,-0.055236442578376455,1.1102230246251565e-16
volcanic soils,45,65,18,100,10.136655426046495,8.855182876159883,11.233510258187748,-0.06190482594952762,-4.440892098500626e-16
volcanic soils,46,65,18,100,10.081322051870444,8.821980055476327,11.139776606851674,-0.05968869719257741,-5.999424387432839e-4
volcanic soils,47,65,18,100,10.009277942627072,8.744851476282212,11.064990079618108,-0.061612211705250886,-5.999424387432839e-4
volcanic soils,48,65,18,100,9.94461934019116,8.68238764279252,11.003903224914861,-0.06702381337665786,-5.99942438748613e-4
volcanic soils,49,65,18,100,9.88608290120883,8.597575745032232,10.898743283055236,-0.06586094434631384,-1.2422108104881424e-4
volcanic soils,50,65,18,100,9.81825901937139,8.541037493206085,10.819710768348202,-0.06973316886666048,2.220446049250313e-16
volcanic soils,51,65,18,100,9.761026247637547,8.470661194942325,10.747134987460322,-0.07181101071664386,0.002450723063800453
volcanic soils,52,65,18,100,9.672440745852164,8.403551344031175,10.65646983987137,-0.06977092518491901,0.0024507230637933475
volcanic soils,53,65,18,100,9.626173497598185,8.355127491780937,10.58874207500044,-0.06773083965319593,0.0024680975834172614
volcanic soils,54,65,18,100,9.544828959294065,8.277760554813916,10.51158467463096,-0.0656907541214764,0.0024680975834181496
volcanic soils,55,65,18,100,9.486844912811938,8.215264064982158,10.424316409343415,-0.06320569896495343,0.0024680975834190377
volcanic soils,56,65,18,100,9.435098784825879,8.14958640777046,10.36384070910714,-0.060572128174742446,0.0024507230637986765
volcanic soils,57,65,18,100,9.3667527234669,8.085310697685257,10.30951924285413,-0.0579385573845439,0.0021462780008700832
volcanic soils,58,65,18,100,9.304827106168164,8.063036325603008,10.228480194422959,-0.05530498659433469,0.0021462780008700832
volcanic soils,59,65,18,100,9.252361385140706,8.01475284084134,10.150415374120962,-0.054719137392292394,0.0021462780008709714
volcanic soils,60,65,18,100,9.217706495732346,7.93895852489006,10.088394735007979,-0.05243973950021186,0.002459410323607525
volcanic soils,61,63,18,96.92307692307692,9.190899784117669,7.819514874446556,10.14004779268864,-0.050053495851575924,0.0026329161060161255
volcanic soils,62,62,18,95.38461538461539,9.026868447718556,7.6119489411954175,9.927309778157186,-0.048032243623817195,0.002577675621706632
volcanic soils,63,62,18,95.38461538461539,8.961405851790115,7.570082472275188,9.876253802884875,-0.045768326915362145,0.002577675621706632
volcanic soils,64,62,18,95.38461538461539,8.903674092312233,7.5102740467676945,9.841955900559391,-0.04194642197496279,0.0024955937025019637
volcanic soils,65,62,18,95.38461538461539,8.85164261444697,7.450558032956668,9.805869808338322,-0.038906579587587586,0.0024680975834181496
volcanic soils,66,60,18,92.3076923076923,8.604582559355137,7.141481271009747,9.645615949862862,-0.03619794520579944,0.0025776756217075203
volcanic soils,67,59,18,90.76923076923077,8.484785897245306,6.997151082398604,9.56132202534852,-0.03555389554182575,0.0025776756217039676
volcanic soils,68,58,18,89.23076923076923,8.347776654979754,6.892716782087262,9.51743889737055,-0.03673617142880037,0.0026329161060152373
volcanic soils,69,56,17,86.15384615384616,8.448671172801845,7.002137785940584,9.57881585151846,-0.03122365530618687,0.002632261421824822
volcanic soils,70,56,17,86.15384615384616,8.391849345873046,6.945717161651729,9.530192363278633,-0.032397981353336824,0.002459410323607525
volcanic soils,71,53,17,81.53846153846153,8.802041755274324,7.542815866922307,9.821945686477589,-0.028471461511663243,0.0025230898215848896
volcanic soils,72,52,16,80,8.777132943369457,7.469073788787216,9.883682343643631,-0.028530244158154083,0.0025776756217084085
volcanic soils,73,51,16,78.46153846153847,8.775305383915764,7.432936059973697,9.951426525095965,-0.02081452202572276,0.002523089821586666
volcanic soils,74,50,16,76.92307692307692,8.891099877248479,7.57951638920451,10.01920799642061,-0.02060675888227914,0.002459410323607081
volcanic soils,75,49,15,75.38461538461539,8.828437731571888,7.510144941208993,9.988341046007086,-0.018448282619330847,0.0022985005323334917
volcanic soils,76,48,15,73.84615384615384,8.83700606548339,7.465358783406829,10.058545248200879,-0.014614839476766672,0.00229850053233438
