ClimateZoneAnd,pred_value,pred_median_c,pred_median_14c,predictor
warm temperate,-8.78750038146973,1.2147259454581842,-246.77013832228033,MAT
tropical,-8.78750038146973,1.7561360394342058,-249.52765880800916,MAT
cold temperate,-8.78750038146973,1.2716220584739062,-204.8393270129924,MAT
arid,-8.78750038146973,0.6845274552492302,-286.70381526723344,MAT
warm temperate,-6.877631940339745,1.2112039525908849,-243.7025841196022,MAT
tropical,-6.877631940339745,1.7403914835553718,-244.53934956941296,MAT
cold temperate,-6.877631940339745,1.2697664557616262,-202.13446225173044,MAT
arid,-6.877631940339745,0.6835541585309438,-284.28260560981437,MAT
warm temperate,-4.9677634992097595,1.221537524886866,-242.56869046800696,MAT
tropical,-4.9677634992097595,1.7572703297624404,-242.6256667472576,MAT
cold temperate,-4.9677634992097595,1.2884826379865366,-201.12605729287503,MAT
arid,-4.9677634992097595,0.683464399105013,-283.18399406127963,MAT
warm temperate,-3.0578950580797732,1.1325952401715802,-286.16596927224373,MAT
tropical,-3.0578950580797732,1.7334100380888515,-295.5833192024455,MAT
cold temperate,-3.0578950580797732,1.1300139859237297,-259.1202962546083,MAT
arid,-3.0578950580797732,0.6650011197025534,-302.6301422166282,MAT
warm temperate,-1.148026616949788,1.3326392907074365,-265.8977838420416,MAT
tropical,-1.148026616949788,1.7776635024875322,-283.89455559015937,MAT
cold temperate,-1.148026616949788,1.3795152606332828,-238.90662696699528,MAT
arid,-1.148026616949788,0.8267137657615461,-280.99336442212257,MAT
warm temperate,0.7618418241801983,1.3736268063791113,-261.6718873661547,MAT
tropical,0.7618418241801983,1.789326629195336,-280.15165298316725,MAT
cold temperate,0.7618418241801983,1.4383088294458335,-234.05729312726152,MAT
arid,0.7618418241801983,0.840029948485349,-269.4586666862353,MAT
warm temperate,2.6717102653101836,1.4712631175096986,-239.764065532504,MAT
tropical,2.6717102653101836,1.8522633589722264,-269.5541154243569,MAT
cold temperate,2.6717102653101836,1.520665640638991,-211.85645673959775,MAT
arid,2.6717102653101836,0.9660913713389958,-253.51218132215783,MAT
warm temperate,4.581578706440169,1.35540805031219,-244.0041175260101,MAT
tropical,4.581578706440169,1.9108315263652016,-276.48233100548714,MAT
cold temperate,4.581578706440169,1.4391566914863985,-216.18543776493857,MAT
arid,4.581578706440169,0.6924717129217903,-237.05822444868951,MAT
warm temperate,6.491447147570154,1.3794498443746266,-194.0951668436102,MAT
tropical,6.491447147570154,1.6134373897972665,-250.6288472458291,MAT
cold temperate,6.491447147570154,1.608483443528134,-173.47853275556506,MAT
arid,6.491447147570154,0.6540044380918201,-178.66875639762216,MAT
warm temperate,8.40131558870014,1.1920318016987808,-150.60992853524394,MAT
tropical,8.40131558870014,1.638656320370922,-223.89890538385376,MAT
cold temperate,8.40131558870014,1.3310629987632543,-131.89465613010628,MAT
arid,8.40131558870014,0.5138210112583725,-161.88319838537512,MAT
warm temperate,10.311184029830128,1.1498850947732255,-161.77200462524394,MAT
tropical,10.311184029830128,2.774937762608356,-217.76724477830857,MAT
cold temperate,10.311184029830128,1.2853557746662685,-139.5645290429103,MAT
arid,10.311184029830128,0.5033263573116504,-181.6160766865131,MAT
warm temperate,12.22105247096011,1.5216964697560793,-158.1251678009329,MAT
tropical,12.22105247096011,3.3715342027012305,-252.5886886114514,MAT
cold temperate,12.22105247096011,1.339529270301638,-128.9831629327748,MAT
arid,12.22105247096011,0.5039005362659328,-160.9287301953734,MAT
warm temperate,14.130920912090096,1.4684940034960392,-146.66333801768212,MAT
tropical,14.130920912090096,3.477690652837041,-219.02090951345872,MAT
cold temperate,14.130920912090096,1.1697716453313598,-121.17762120465078,MAT
arid,14.130920912090096,0.4943668814477497,-144.31140558506968,MAT
warm temperate,16.04078935322008,1.3087032646364247,-143.66234696263757,MAT
tropical,16.04078935322008,2.9736771731168883,-228.97698515851692,MAT
cold temperate,16.04078935322008,0.9894807745618028,-120.99074898081692,MAT
arid,16.04078935322008,0.4257692687944415,-136.2437435203722,MAT
warm temperate,17.950657794350068,1.309768284334047,-171.89294711414897,MAT
tropical,17.950657794350068,2.5456420690906385,-224.4897413250509,MAT
cold temperate,17.950657794350068,1.0802600768907422,-160.83687620936098,MAT
arid,17.950657794350068,0.5392505211640847,-176.20754188872218,MAT
warm temperate,19.86052623548005,0.8074577312754001,-142.13913368274365,MAT
tropical,19.86052623548005,0.7355635608462159,-154.98141579958593,MAT
cold temperate,19.86052623548005,0.8106922830869037,-136.3280395127556,MAT
arid,19.86052623548005,0.510834211544366,-136.35527263841507,MAT
warm temperate,21.77039467661004,0.8802708191831738,-96.0666367069348,MAT
tropical,21.77039467661004,0.7762646129377324,-144.9021383384359,MAT
cold temperate,21.77039467661004,0.9708228125659653,-80.1608352703524,MAT
arid,21.77039467661004,0.5236141908484967,-77.98231061181586,MAT
warm temperate,23.680263117740022,0.8894816096442922,-67.91103055350669,MAT
tropical,23.680263117740022,0.8247278643443696,-100.71128795203236,MAT
cold temperate,23.680263117740022,0.9547217728311946,-45.9114439396439,MAT
arid,23.680263117740022,0.5154510192209885,-62.547439831830786,MAT
warm temperate,25.59013155887001,0.8380538740073925,-118.58176207631756,MAT
tropical,25.59013155887001,0.7170894655037046,-170.93097470830045,MAT
cold temperate,25.59013155887001,0.9150048815182582,-85.10699203316948,MAT
arid,25.59013155887001,0.5397577170137426,-100.54991048262684,MAT
warm temperate,27.5,1.0340206511667076,-77.1122640785168,MAT
tropical,27.5,1.0091109716176407,-113.17732768086316,MAT
cold temperate,27.5,1.0452434014160878,-41.370437579492254,MAT
arid,27.5,0.5938342046225922,-64.24751384063589,MAT
warm temperate,0.240852314474651,8.491962859642449,-487.795627012006,PET_MAP
tropical,0.240852314474651,1.568794365961414,-191.5605759200294,PET_MAP
cold temperate,0.240852314474651,7.645468328174273,-465.8791299210289,PET_MAP
arid,0.240852314474651,2.3404286872744766,-286.5736491754091,PET_MAP
warm temperate,1.1150482301677576,0.8069231230502256,-135.4672856133206,PET_MAP
tropical,1.1150482301677576,0.9965571559596288,-138.80292835581568,PET_MAP
cold temperate,1.1150482301677576,0.950918974910657,-132.19727702437606,PET_MAP
arid,1.1150482301677576,0.7669338279857536,-109.83154387390516,PET_MAP
warm temperate,1.9892441458608645,0.9160527687957972,-159.33884749238555,PET_MAP
tropical,1.9892441458608645,1.0899477457127844,-145.3562743960831,PET_MAP
cold temperate,1.9892441458608645,1.1888803207017085,-186.03411594659312,PET_MAP
arid,1.9892441458608645,0.8544972784442375,-100.55592770450366,PET_MAP
warm temperate,2.863440061553971,0.8065738528490491,-150.4544025230258,PET_MAP
tropical,2.863440061553971,0.792824990120075,-167.68141233413542,PET_MAP
cold temperate,2.863440061553971,1.0887210590193694,-160.55547409752603,PET_MAP
arid,2.863440061553971,0.6069050146920426,-115.1814134253726,PET_MAP
warm temperate,3.7376359772470775,0.8118337863154057,-152.70655131075688,PET_MAP
tropical,3.7376359772470775,1.109476631621558,-162.264281008623,PET_MAP
cold temperate,3.7376359772470775,1.0113533996811614,-165.19424767906165,PET_MAP
arid,3.7376359772470775,0.6107796989522479,-116.24309134087568,PET_MAP
warm temperate,4.6118318929401845,0.5965240928059964,-174.8768762826178,PET_MAP
tropical,4.6118318929401845,0.7473595772829007,-171.07116542196707,PET_MAP
cold temperate,4.6118318929401845,0.7822083863911985,-181.3145585075988,PET_MAP
arid,4.6118318929401845,0.41392573908948355,-126.0261358093336,PET_MAP
warm temperate,5.486027808633291,0.566544140693152,-176.72267344086995,PET_MAP
tropical,5.486027808633291,0.6600241521429744,-197.28922491926545,PET_MAP
cold temperate,5.486027808633291,0.7296002502227439,-177.40110206949774,PET_MAP
arid,5.486027808633291,0.3660587080205664,-120.57197725777972,PET_MAP
warm temperate,6.3602237243263975,0.5325754032665057,-191.39965930653003,PET_MAP
tropical,6.3602237243263975,0.6544109323759736,-206.54181163898645,PET_MAP
cold temperate,6.3602237243263975,0.7153650723716717,-186.04337480520303,PET_MAP
arid,6.3602237243263975,0.3356405038015959,-125.190952482985,PET_MAP
warm temperate,7.234419640019504,0.7077115149676239,-327.90458285684315,PET_MAP
tropical,7.234419640019504,0.8238836593402804,-265.13875046887,PET_MAP
cold temperate,7.234419640019504,0.7639597023729906,-264.94415240815306,PET_MAP
arid,7.234419640019504,0.5747981080052534,-146.57904742765868,PET_MAP
warm temperate,8.10861555571261,0.5786436707929759,-286.20495297753985,PET_MAP
tropical,8.10861555571261,0.7177414647661361,-260.6520330244026,PET_MAP
cold temperate,8.10861555571261,0.7195319193981644,-231.6400341131372,PET_MAP
arid,8.10861555571261,0.3494908804778043,-141.4683471682983,PET_MAP
warm temperate,8.982811471405718,0.5786436707929759,-286.20495297753985,PET_MAP
tropical,8.982811471405718,0.7177414647661361,-260.6520330244026,PET_MAP
cold temperate,8.982811471405718,0.7195319193981644,-231.6400341131372,PET_MAP
arid,8.982811471405718,0.34944087557225756,-141.47981115234916,PET_MAP
warm temperate,9.857007387098824,0.5786391534595843,-286.24371862622604,PET_MAP
tropical,9.857007387098824,0.7177414647661361,-260.6794236018255,PET_MAP
cold temperate,9.857007387098824,0.7195319193981644,-231.6400341131372,PET_MAP
arid,9.857007387098824,0.3487230020853857,-141.4683471682983,PET_MAP
warm temperate,10.731203302791933,0.5785958842770191,-286.24371862622604,PET_MAP
tropical,10.731203302791933,0.7177414647661361,-260.7987056198711,PET_MAP
cold temperate,10.731203302791933,0.7195319193981644,-231.6400341131372,PET_MAP
arid,10.731203302791933,0.3487230020853857,-142.03670540126757,PET_MAP
warm temperate,11.605399218485037,0.5744915205356103,-285.2330418678514,PET_MAP
tropical,11.605399218485037,0.7103548951104148,-261.7531460347038,PET_MAP
cold temperate,11.605399218485037,0.7195319193981644,-231.82196548207088,PET_MAP
arid,11.605399218485037,0.3457474745995635,-147.31672241137213,PET_MAP
warm temperate,12.479595134178144,0.558001196401642,-285.03451525675473,PET_MAP
tropical,12.479595134178144,0.6993967496666312,-261.34963760237724,PET_MAP
cold temperate,12.479595134178144,0.717393860043982,-233.5927446647514,PET_MAP
arid,12.479595134178144,0.33912556656981996,-148.95057902203885,PET_MAP
warm temperate,13.35379104987125,0.5577149535500592,-295.47847469276564,PET_MAP
tropical,13.35379104987125,0.7003145099649117,-259.67297034514047,PET_MAP
cold temperate,13.35379104987125,0.7172357815880461,-243.0459243302496,PET_MAP
arid,13.35379104987125,0.3390715645848699,-150.9281567318836,PET_MAP
warm temperate,14.227986965564355,0.5577149535500592,-295.47847469276564,PET_MAP
tropical,14.227986965564355,0.7003145099649117,-259.67297034514047,PET_MAP
cold temperate,14.227986965564355,0.7172357815880461,-243.0459243302496,PET_MAP
arid,14.227986965564355,0.3390715645848699,-150.9281567318836,PET_MAP
warm temperate,15.102182881257464,0.5577149535500592,-295.47847469276564,PET_MAP
tropical,15.102182881257464,0.7003145099649117,-259.67297034514047,PET_MAP
cold temperate,15.102182881257464,0.7172357815880461,-243.0459243302496,PET_MAP
arid,15.102182881257464,0.3390715645848699,-150.9281567318836,PET_MAP
warm temperate,15.97637879695057,0.5592914110621645,-301.8312502072442,PET_MAP
tropical,15.97637879695057,0.7044369709292962,-262.8935282814267,PET_MAP
cold temperate,15.97637879695057,0.7175359123932253,-251.7565978013394,PET_MAP
arid,15.97637879695057,0.33928519971692095,-168.08603257382404,PET_MAP
warm temperate,16.850574712643677,0.5592914110621645,-301.8312502072442,PET_MAP
tropical,16.850574712643677,0.7044369709292962,-262.8935282814267,PET_MAP
cold temperate,16.850574712643677,0.7175359123932253,-251.7565978013394,PET_MAP
arid,16.850574712643677,0.33928519971692095,-168.08603257382404,PET_MAP
