ClimateZoneAnd,MAT,PET_MAP
warm temperate,16,6.926666666666667
warm temperate,12.6,0.8434108527131783
warm temperate,16,6.483333333333333
warm temperate,16,6.28
warm temperate,16,6.403333333333333
tropical,24.9958324432373,0.6781265570503239
tropical,24.8875007629395,0.6696340257171117
tropical,24.8583335876465,0.6673238048299655
tropical,24.7625007629395,0.6694664031620553
tropical,24.9624996185303,0.6722855726326227
warm temperate,8.9,1.3936
warm temperate,8.5,1.3451612903225807
tropical,25.8,2.902631578947368
warm temperate,8.2,1.255
warm temperate,8.5,1.0202429149797572
warm temperate,19,2.9089456869009584
warm temperate,19,4.101075268817205
warm temperate,15,1.3544303797468351
warm temperate,17.5,1.994600431965443
arid,8.6,5.008720930232558
cold temperate,4.9,2.357142857142857
warm temperate,22.5,1.4769736842105263
cold temperate,0.3,1.1920398009950248
warm temperate,15.5,2.5365853658536586
arid,9,4.496527777777778
cold temperate,2.9,1.813953488372093
warm temperate,16.4,3.9314814814814816
warm temperate,17.2,1.0723065798987708
cold temperate,8,1.3695829926410463
cold temperate,12.7,1.4707070707070706
cold temperate,4.3,1.1047381546134662
cold temperate,4.9,2.327935222672065
cold temperate,10.5833330154419,1.0153714773697695
warm temperate,17.4,1.095132743362832
warm temperate,17.4,1.09070796460177
warm temperate,17.4,1.0789085545722714
warm temperate,17.4,1.087758112094395
warm temperate,18.7,1.3008474576271187
warm temperate,18.7,1.2991525423728814
warm temperate,18.7,1.298305084745763
warm temperate,18.7,1.302542372881356
warm temperate,18.9,1.0573600552868003
warm temperate,18.9,1.0559778852798891
warm temperate,13.9,1.9428571428571428
warm temperate,20.625,0.6908690869086909
warm temperate,20.408332824707,0.6813966175668303
warm temperate,10.3541669845581,1.0531520395550062
tropical,25,0.7255
warm temperate,19,0.6668181818181819
warm temperate,19,0.675
warm temperate,19,0.6736363636363636
warm temperate,19,0.6963636363636364
warm temperate,19,0.7013636363636364
warm temperate,19,0.7054545454545454
cold temperate,3.9,0.8759615384615385
cold temperate,7.8,1.384498480243161
cold temperate,3.37916660308838,1.048331415420023
cold temperate,4.5,1.4638297872340424
cold temperate,4.5,1.4617021276595743
cold temperate,-2.75000023841858,1.2214285714285715
cold temperate,-3.07083320617676,1.1222410865874364
cold temperate,-3.09583330154419,1.11864406779661
tropical,25.9583339691162,0.6606252831898505
arid,20.3,14.717514124293784
arid,21.6,6.068337129840547
arid,22.2,4.571428571428571
arid,21.2,7.427374301675978
warm temperate,9.7,1.0036540803897689
warm temperate,17.28,0.7729498164014688
warm temperate,18,0.7647058823529411
warm temperate,18.08,0.7820590006020469
warm temperate,17.81,0.7246835443037974
warm temperate,15.14,0.5746887966804979
warm temperate,15.47,0.5820353063343717
warm temperate,15.14,0.5764828303850156
warm temperate,15.14,0.5758835758835759
warm temperate,17.87,0.8018433179723502
warm temperate,18.31,0.7944765574823378
warm temperate,17.93,0.8462575859743763
tropical,18.31,0.8257725180802103
warm temperate,17.22,0.7125960969840331
warm temperate,17.37,0.7179183914843288
tropical,19.2,0.873305833824396
tropical,19.2,0.8579846788450206
tropical,23.9375,0.8963210702341137
warm temperate,10.6833333969116,1.468217054263566
cold temperate,8.05000019073486,1.128
cold temperate,5.59166669845581,0.6418181818181818
cold temperate,5.5,0.964
tropical,26.1,0.5799469964664311
tropical,26.1,0.5643564356435643
tropical,23.1,0.5772397094430993
tropical,23.2,0.5765503875968992
tropical,26.5,0.5103734439834025
tropical,26.7,0.5674329501915709
tropical,26.7,0.5653669724770642
tropical,26.2,0.6118699952896844
tropical,26.2,0.6115585030791094
tropical,26.2,0.5059822462369742
tropical,26.3,0.5399255275134465
tropical,26.2,0.5174990169091624
tropical,26.1,0.4936472346786248
tropical,26.1,0.4772234273318872
tropical,26.1,0.5198740653286108
tropical,26.1,0.4829232464193904
tropical,26.2,0.4818577648766328
tropical,23.5,0.852922286448298
tropical,23.5,0.8503532434168273
tropical,26.1,0.4962292609351433
tropical,26.3,0.5234093637454982
tropical,26.1,0.4788273615635179
tropical,26.1,0.5080769230769231
tropical,26,0.4859985261606485
tropical,26.7,0.5532467532467532
tropical,26.7,0.5498154981549815
tropical,26.6,0.5644666155026861
tropical,26.6,0.5636991557943208
warm temperate,12,1.5275
warm temperate,11.4666662216187,1.089497716894977
tropical,23.7333335876465,0.9279100529100528
warm temperate,12.4958333969116,1.154535274356103
warm temperate,10.1333332061768,1.4145962732919255
warm temperate,12.5958337783813,1.1537610619469028
warm temperate,16,4.6414634146341465
warm temperate,16,4.646341463414634
arid,16,4.404878048780488
arid,16,5.004878048780488
warm temperate,16,4.763414634146342
warm temperate,16,4.753658536585366
warm temperate,16.2416667938232,1.0637845499645642
warm temperate,16.0499992370605,1.087936046511628
cold temperate,9.28750038146973,1.5270935960591132
cold temperate,10.0708332061768,1.583941605839416
warm temperate,8.97500038146973,0.4767025089605735
warm temperate,12,2.3251533742331287
cold temperate,9,2.5703703703703704
warm temperate,12,2.872058823529412
cold temperate,9,2.6296296296296298
warm temperate,11,2.856
warm temperate,20.4,1.0167272727272727
warm temperate,21.3,1.0317343173431734
arid,23,3.957777777777778
arid,23,4.035555555555556
warm temperate,23,2.3337837837837836
arid,23,3.0927272727272728
warm temperate,23,2.362162162162162
arid,23,3.116363636363636
warm temperate,23,3.149090909090909
arid,23,3.937777777777778
arid,23,3.9
warm temperate,15.1,0.8727868852459016
warm temperate,18.1375007629395,1.038
arid,19.6458339691162,3.2015748031496063
arid,23.4,6.384090909090909
tropical,20,0.4859375
warm temperate,13,0.954585152838428
warm temperate,14,0.6450242718446602
warm temperate,8,1.7856
warm temperate,11,0.39463327370304113
warm temperate,10.6,0.7520912547528517
warm temperate,10.6,0.7536121673003803
warm temperate,10.6,0.7543726235741445
warm temperate,10.6,0.749809885931559
warm temperate,10.6,0.7551330798479088
warm temperate,10.6,0.752851711026616
warm temperate,10.6,0.7391634980988593
warm temperate,10.6,0.7482889733840304
warm temperate,10.6,0.7505703422053231
warm temperate,12.8,0.7442857142857143
warm temperate,12.8,0.7578571428571429
warm temperate,12.8,0.7692857142857142
warm temperate,12.8,0.7771428571428571
warm temperate,13.9,1.977142857142857
warm temperate,13.9,2.04
warm temperate,13.9,2.1157142857142857
warm temperate,13.9,2.0785714285714287
arid,9.30833339691162,4.4987146529562985
arid,12.5500001907349,4.71395881006865
cold temperate,4.08750009536743,1.9278937381404175
cold temperate,6.87083339691162,1.5726375176304654
cold temperate,9.88333320617676,1.3982002249718786
cold temperate,5.72499990463257,2.985981308411215
cold temperate,4.73333311080933,2.7777777777777777
cold temperate,11.9833335876465,1.3294117647058823
arid,7.54583358764648,4.206043956043956
cold temperate,10.4291667938232,2.0027816411682893
cold temperate,3.23333334922791,1.8272552783109408
cold temperate,5.7,1.048331415420023
cold temperate,3.9,1.048331415420023
cold temperate,0.9,0.740650406504065
cold temperate,7.8,1.048331415420023
cold temperate,6.4,0.7229357798165138
cold temperate,10.2208337783813,0.5062645011600928
cold temperate,-4.27500009536743,1.9657534246575343
